id,minute,second,period,playerName,playerId,teamId,h_a,x,y,type,outcomeType,qualifiers
2944993643.0,33,0.0,FirstHalf,Scott McTominay,336915,424,h,35.8,94.9,Tackle,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""StandingSave""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""348""}, {""type"": ""Defensive""}]"
2944993673.0,33,59.0,FirstHalf,Grant Hanley,86593,424,h,16.7,4.3,BlockedPass,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""358""}, {""type"": ""Defensive""}]"
2944993679.0,34,3.0,FirstHalf,Kieran Tierney,297403,424,h,8.4,44.0,Clearance,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""16.0""}, {""type"": ""PassEndY"", ""value"": ""0.0""}, {""type"": ""Length"", ""value"": ""32.3""}, {""type"": ""Angle"", ""value"": ""4.96""}]"
2944993739.0,35,22.0,FirstHalf,Ismael Saibari,404776,495,a,69.6,35.6,BallRecovery,Successful,[]
2944993783.0,37,12.0,FirstHalf,Brahim Díaz,317541,495,a,45.2,10.9,BallRecovery,Successful,[]
2944993789.0,37,22.0,FirstHalf,Kieran Tierney,297403,424,h,14.2,75.8,Tackle,Unsuccessful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""StandingSave""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""394""}, {""type"": ""Defensive""}]"
2944993801.0,37,39.0,FirstHalf,Andy Robertson,115726,424,h,5.9,61.7,BallRecovery,Successful,[]
2944993841.0,39,52.0,FirstHalf,Noussair Mazraoui,349932,495,a,42.0,88.6,BallRecovery,Successful,[]
2944993873.0,40,21.0,FirstHalf,Kieran Tierney,297403,424,h,28.4,58.5,Tackle,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""StandingSave""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""418""}, {""type"": ""Defensive""}]"
2944993875.0,40,22.0,FirstHalf,Scott McTominay,336915,424,h,34.0,54.6,BallRecovery,Successful,[]
