playerName,playerId,teamId,h_a,x,y,minute,second,type,period
Issa Diop,300359,495,a,31.4,20.5,4,41.0,Pass,FirstHalf
Chadi Riad,454342,495,a,30.8,43.6,4,44.0,Pass,FirstHalf
Neil El Aynaoui,486734,495,a,34.7,27.5,4,46.0,Pass,FirstHalf
Issa Diop,300359,495,a,38.1,9.7,4,49.0,Pass,FirstHalf
Ismael Saibari,404776,495,a,53.9,15.3,4,51.0,BallTouch,FirstHalf
Andy Robertson,115726,424,h,56.3,82.6,4,53.0,Pass,FirstHalf
Ché Adams,256419,424,h,71.9,70.2,4,54.0,Pass,FirstHalf
Ryan Christie,128882,424,h,63.8,49.9,4,56.0,Pass,FirstHalf
John McGinn,318449,424,h,68.5,50.7,4,57.0,Pass,FirstHalf
Noussair Mazraoui,349932,495,a,29.1,48.1,4,57.0,BlockedPass,FirstHalf
Neil El Aynaoui,486734,495,a,31.1,35.3,4,58.0,Pass,FirstHalf
Ismael Saibari,404776,495,a,28.9,55.4,4,59.0,Pass,FirstHalf
Azzedine Ounahi,392361,495,a,35.7,71.3,5,2.0,Pass,FirstHalf
Bilal El Khannouss,433572,495,a,37.3,88.3,5,5.0,Pass,FirstHalf
Neil El Aynaoui,486734,495,a,55.6,76.1,5,7.0,Pass,FirstHalf
Azzedine Ounahi,392361,495,a,65.3,88.8,5,9.0,Pass,FirstHalf
Bilal El Khannouss,433572,495,a,62.8,67.3,5,12.0,Pass,FirstHalf
Brahim Díaz,317541,495,a,60.2,23.4,5,19.0,Pass,FirstHalf
Bilal El Khannouss,433572,495,a,64.3,17.1,5,23.0,Pass,FirstHalf
Achraf Hakimi,320834,495,a,69.3,3.6,5,27.0,Pass,FirstHalf
Bilal El Khannouss,433572,495,a,63.9,11.0,5,28.0,Pass,FirstHalf
Ayyoub Bouaddi,504830,495,a,62.6,26.1,5,29.0,Pass,FirstHalf
Bilal El Khannouss,433572,495,a,62.4,13.5,5,31.0,Pass,FirstHalf
Neil El Aynaoui,486734,495,a,53.3,45.0,5,33.0,Pass,FirstHalf
Azzedine Ounahi,392361,495,a,60.8,60.4,5,35.0,Pass,FirstHalf
Chadi Riad,454342,495,a,46.0,66.5,5,37.0,Pass,FirstHalf
Noussair Mazraoui,349932,495,a,58.2,93.4,5,41.0,Pass,FirstHalf
Neil El Aynaoui,486734,495,a,45.8,54.5,5,44.0,Pass,FirstHalf
Issa Diop,300359,495,a,46.6,21.9,5,48.0,Pass,FirstHalf
Brahim Díaz,317541,495,a,62.5,4.6,5,52.0,Pass,FirstHalf
Achraf Hakimi,320834,495,a,54.1,15.5,5,54.0,Pass,FirstHalf
Neil El Aynaoui,486734,495,a,42.7,36.0,5,57.0,Pass,FirstHalf
Bilal El Khannouss,433572,495,a,67.8,94.0,6,1.0,TakeOn,FirstHalf
Nathan Patterson,396975,424,h,32.3,6.0,6,1.0,Tackle,FirstHalf
Bilal El Khannouss,433572,495,a,63.0,93.4,6,4.0,BallTouch,FirstHalf
John McGinn,318449,424,h,38.5,31.3,6,7.0,Pass,FirstHalf
Kieran Tierney,297403,424,h,64.8,73.0,6,11.0,Pass,FirstHalf
Chadi Riad,454342,495,a,16.7,55.4,6,14.0,Clearance,FirstHalf
Ryan Christie,128882,424,h,83.3,35.4,6,17.0,Pass,FirstHalf
Chadi Riad,454342,495,a,12.9,61.4,6,17.0,BlockedPass,FirstHalf
Ryan Christie,128882,424,h,87.1,38.6,6,18.0,BallTouch,FirstHalf
