id,minute,second,period,playerName,playerId,teamId,h_a,x,y,endX,endY,outcomeType,passLength,passAngle,passDirection,passType,qualifiers
2944992499.0,0,0.0,FirstHalf,Azzedine Ounahi,392361,495,a,50.0,50.0,43.3,50.8,Successful,6.747592163134938,173.19094982038663,Backward,Short,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""43.3""}, {""type"": ""PassEndY"", ""value"": ""50.8""}, {""type"": ""Length"", ""value"": ""7.1""}, {""type"": ""Angle"", ""value"": ""3.06""}]"
2944992501.0,0,2.0,FirstHalf,Neil El Aynaoui,486734,495,a,45.9,50.2,73.3,92.8,Unsuccessful,50.650962478515645,57.25118042339938,Forward,Short,"[{""type"": ""Longball""}, {""type"": ""Zone"", ""value"": ""Left""}, {""type"": ""PassEndX"", ""value"": ""73.3""}, {""type"": ""PassEndY"", ""value"": ""92.8""}, {""type"": ""Length"", ""value"": ""40.8""}, {""type"": ""Angle"", ""value"": ""0.79""}]"
2944992505.0,0,6.0,FirstHalf,Nathan Patterson,396975,424,h,24.6,12.5,7.9,38.2,Successful,30.649306680575993,123.01603062799529,Backward,Short,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""7.9""}, {""type"": ""PassEndY"", ""value"": ""38.2""}, {""type"": ""Length"", ""value"": ""24.8""}, {""type"": ""Angle"", ""value"": ""2.36""}]"
2944992507.0,0,9.0,FirstHalf,Angus Gunn,318896,424,h,4.9,27.9,33.8,0.0,Unsuccessful,40.169889220658796,-43.99137568933977,Forward,Short,"[{""type"": ""Longball""}, {""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""33.8""}, {""type"": ""PassEndY"", ""value"": ""0.0""}, {""type"": ""Length"", ""value"": ""36.2""}, {""type"": ""Angle"", ""value"": ""5.71""}]"
2944992513.0,0,14.0,FirstHalf,Noussair Mazraoui,349932,495,a,58.5,100.0,36.9,88.6,Successful,24.42375892445715,-152.17590361574673,Backward,ThrowIn,"[{""type"": ""Longball""}, {""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""ThrowIn""}, {""type"": ""PassEndX"", ""value"": ""36.9""}, {""type"": ""PassEndY"", ""value"": ""88.6""}, {""type"": ""Length"", ""value"": ""24.4""}, {""type"": ""Angle"", ""value"": ""3.52""}]"
2944992515.0,0,18.0,FirstHalf,Chadi Riad,454342,495,a,37.5,77.2,34.3,34.6,Successful,42.72001872658766,-94.29584051127152,Lateral,Short,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""34.3""}, {""type"": ""PassEndY"", ""value"": ""34.6""}, {""type"": ""Length"", ""value"": ""29.2""}, {""type"": ""Angle"", ""value"": ""4.60""}]"
2944992517.0,0,22.0,FirstHalf,Issa Diop,300359,495,a,35.1,36.6,34.5,66.3,Successful,29.706059987820662,91.15733306812952,Lateral,Short,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""34.5""}, {""type"": ""PassEndY"", ""value"": ""66.3""}, {""type"": ""Length"", ""value"": ""20.2""}, {""type"": ""Angle"", ""value"": ""1.60""}]"
2944992519.0,0,25.0,FirstHalf,Chadi Riad,454342,495,a,34.2,67.5,38.7,79.1,Successful,12.442266674525179,68.79718135619032,Lateral,Short,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""38.7""}, {""type"": ""PassEndY"", ""value"": ""79.1""}, {""type"": ""Length"", ""value"": ""9.2""}, {""type"": ""Angle"", ""value"": ""1.03""}]"
2944992521.0,0,26.0,FirstHalf,Neil El Aynaoui,486734,495,a,38.7,79.1,31.6,66.3,Successful,14.637281168304446,-119.01658434386583,Backward,Short,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""31.6""}, {""type"": ""PassEndY"", ""value"": ""66.3""}, {""type"": ""LayOff""}, {""type"": ""Length"", ""value"": ""11.5""}, {""type"": ""Angle"", ""value"": ""4.00""}]"
2944992523.0,0,32.0,FirstHalf,Chadi Riad,454342,495,a,34.6,63.9,32.2,27.7,Successful,36.279470778940535,-93.79306428168864,Lateral,Short,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""32.2""}, {""type"": ""PassEndY"", ""value"": ""27.7""}, {""type"": ""Length"", ""value"": ""24.7""}, {""type"": ""Angle"", ""value"": ""4.61""}]"
