playerName,playerId,teamId,h_a,x,y,minute,second,type,period
Lee Kang-In,367780,1159,a,37.6,58.7,5,14.0,Tackle,FirstHalf
Julián Quiñones,509557,972,h,60.6,33.7,5,15.0,Pass,FirstHalf
Lee Jae-Sung,142959,1159,a,41.0,68.8,5,15.0,BlockedPass,FirstHalf
Julián Quiñones,509557,972,h,59.4,34.3,5,18.0,Dispossessed,FirstHalf
Lee Jae-Sung,142959,1159,a,40.6,65.8,5,18.0,Tackle,FirstHalf
Julián Quiñones,509557,972,h,63.9,36.0,5,19.0,BallTouch,FirstHalf
Brian Gutiérrez,396565,972,h,67.1,34.0,5,21.0,Pass,FirstHalf
Julián Quiñones,509557,972,h,67.4,39.4,5,22.0,Pass,FirstHalf
Kim Min-Jae,370912,1159,a,27.1,47.9,5,23.0,Pass,FirstHalf
Hwang In-Beom,371030,1159,a,30.5,40.1,5,25.0,BallTouch,FirstHalf
Johan Vásquez,425115,972,h,56.8,79.1,5,26.0,Pass,FirstHalf
Hwang In-Beom,371030,1159,a,37.0,25.0,5,27.0,BallTouch,FirstHalf
Érik Lira,447638,972,h,58.7,61.8,5,29.0,Pass,FirstHalf
Luis Romo,447635,972,h,70.4,73.8,5,31.0,Pass,FirstHalf
Julián Quiñones,509557,972,h,73.7,79.1,5,36.0,Pass,FirstHalf
Luis Romo,447635,972,h,75.1,73.3,5,36.0,Pass,FirstHalf
Jesús Gallardo,252248,972,h,88.6,90.5,5,41.0,Pass,FirstHalf
Paik Seung-Ho,362786,1159,a,8.5,40.4,5,43.0,Clearance,FirstHalf
Kim Moon-Hwan,414214,1159,a,11.9,17.6,5,45.0,Clearance,FirstHalf
Lee Kang-In,367780,1159,a,21.1,6.8,5,48.0,Pass,FirstHalf
Kim Moon-Hwan,414214,1159,a,10.8,9.4,5,51.0,Pass,FirstHalf
Lee Kang-In,367780,1159,a,19.7,4.6,5,52.0,Pass,FirstHalf
Kim Moon-Hwan,414214,1159,a,11.8,12.5,5,53.0,Pass,FirstHalf
Edson Álvarez,322696,972,h,46.2,57.0,5,56.0,Pass,FirstHalf
Érik Lira,447638,972,h,52.3,56.6,5,59.0,Pass,FirstHalf
Luis Romo,447635,972,h,54.4,70.6,6,3.0,Pass,FirstHalf
Jesús Gallardo,252248,972,h,64.4,92.1,6,6.0,Pass,FirstHalf
Julián Quiñones,509557,972,h,64.6,83.6,6,7.0,Pass,FirstHalf
Luis Romo,447635,972,h,58.0,80.2,6,10.0,Pass,FirstHalf
Raúl Jiménez,108186,972,h,84.1,35.2,6,13.0,BallTouch,FirstHalf
Lee Gi-Hyuk,447593,1159,a,16.8,70.8,6,14.0,Clearance,FirstHalf
Roberto Alvarado,447636,972,h,74.7,39.5,6,17.0,MissedShots,FirstHalf
Kim Seung-Gyu,71968,1159,a,7.4,43.4,6,26.0,Pass,FirstHalf
Lee Han-Beom,531031,1159,a,9.7,8.6,6,32.0,Pass,FirstHalf
Johan Vásquez,425115,972,h,54.4,94.2,6,37.0,Pass,FirstHalf
Luis Romo,447635,972,h,58.3,77.8,6,39.0,Pass,FirstHalf
Érik Lira,447638,972,h,55.8,47.0,6,44.0,Pass,FirstHalf
Brian Gutiérrez,396565,972,h,61.3,41.6,6,47.0,Pass,FirstHalf
