team,venue,formationIndex,formationName,playerId,playerName,slotIndex,vertical,horizontal,startMinuteExpanded,endMinuteExpanded
South Korea,away,1,3421,371030,Hwang In-Beom,6,5.0,3.5,61,75
South Korea,away,1,3421,362786,Paik Seung-Ho,7,5.0,6.5,61,75
South Korea,away,1,3421,461463,Oh Hyeon-Gyu,8,9.0,5.0,61,75
South Korea,away,1,3421,367780,Lee Kang-In,9,7.5,3.5,61,75
South Korea,away,1,3421,262854,Hwang Hee-Chan,10,7.5,6.5,61,75
South Korea,away,2,3421,71968,Kim Seung-Gyu,0,0.0,5.0,75,81
South Korea,away,2,3421,457093,Yang Hyun-Jun,1,5.0,1.0,75,81
South Korea,away,2,3421,458184,Eom Ji-Sung,2,5.0,9.0,75,81
South Korea,away,2,3421,447593,Lee Gi-Hyuk,3,2.5,8.0,75,81
South Korea,away,2,3421,370912,Kim Min-Jae,4,2.5,5.0,75,81
South Korea,away,2,3421,531031,Lee Han-Beom,5,2.5,2.0,75,81
South Korea,away,2,3421,371030,Hwang In-Beom,6,5.0,3.5,75,81
South Korea,away,2,3421,362786,Paik Seung-Ho,7,5.0,6.5,75,81
South Korea,away,2,3421,461463,Oh Hyeon-Gyu,8,9.0,5.0,75,81
South Korea,away,2,3421,367780,Lee Kang-In,9,7.5,3.5,75,81
South Korea,away,2,3421,262854,Hwang Hee-Chan,10,7.5,6.5,75,81
South Korea,away,3,352,71968,Kim Seung-Gyu,0,0.0,5.0,81,86
South Korea,away,3,352,457093,Yang Hyun-Jun,1,6.0,1.0,81,86
South Korea,away,3,352,458184,Eom Ji-Sung,2,6.0,9.0,81,86
South Korea,away,3,352,447593,Lee Gi-Hyuk,3,2.5,8.0,81,86
South Korea,away,3,352,370912,Kim Min-Jae,4,2.5,5.0,81,86
South Korea,away,3,352,531031,Lee Han-Beom,5,2.5,2.0,81,86
South Korea,away,3,352,367780,Lee Kang-In,6,6.0,3.0,81,86
South Korea,away,3,352,262854,Hwang Hee-Chan,7,6.0,7.0,81,86
South Korea,away,3,352,461463,Oh Hyeon-Gyu,8,9.0,3.5,81,86
South Korea,away,3,352,447605,Cho Gue-Sung,9,9.0,6.5,81,86
South Korea,away,3,352,371030,Hwang In-Beom,10,6.0,5.0,81,86
South Korea,away,4,352,71968,Kim Seung-Gyu,0,0.0,5.0,86,96
South Korea,away,4,352,457093,Yang Hyun-Jun,1,6.0,1.0,86,96
South Korea,away,4,352,458184,Eom Ji-Sung,2,6.0,9.0,86,96
South Korea,away,4,352,447593,Lee Gi-Hyuk,3,2.5,8.0,86,96
South Korea,away,4,352,370912,Kim Min-Jae,4,2.5,5.0,86,96
South Korea,away,4,352,531031,Lee Han-Beom,5,2.5,2.0,86,96
South Korea,away,4,352,262854,Hwang Hee-Chan,6,6.0,3.0,86,96
South Korea,away,4,352,367780,Lee Kang-In,7,6.0,7.0,86,96
South Korea,away,4,352,461463,Oh Hyeon-Gyu,8,9.0,3.5,86,96
South Korea,away,4,352,447605,Cho Gue-Sung,9,9.0,6.5,86,96
South Korea,away,4,352,371030,Hwang In-Beom,10,6.0,5.0,86,96
