id,minute,second,period,playerName,playerId,teamId,h_a,x,y,type,outcomeType,qualifiers
2944940551.0,85,23.0,SecondHalf,Jesús Gallardo,252248,972,h,28.5,78.5,Clearance,Successful,"[{""type"": ""Head""}, {""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""28.4""}, {""type"": ""PassEndY"", ""value"": ""81.2""}, {""type"": ""Length"", ""value"": ""1.8""}, {""type"": ""Angle"", ""value"": ""1.63""}]"
2944940557.0,85,25.0,SecondHalf,Obed Vargas,419580,972,h,27.1,76.4,Tackle,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""844""}, {""type"": ""Defensive""}]"
2944940565.0,85,30.0,SecondHalf,César Huerta,498764,972,h,23.5,74.5,BallRecovery,Successful,[]
2944940573.0,85,37.0,SecondHalf,Yang Hyun-Jun,457093,1159,a,45.7,32.8,Tackle,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""StandingSave""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""719""}, {""type"": ""Defensive""}]"
2944940575.0,85,40.0,SecondHalf,Kim Seung-Gyu,71968,1159,a,16.9,37.1,BallRecovery,Successful,[]
2944940619.0,86,45.0,SecondHalf,Raúl Rangel,527319,972,h,1.2,53.3,KeeperPickup,Successful,[]
2944940639.0,88,12.0,SecondHalf,Raúl Rangel,527319,972,h,2.8,49.5,KeeperPickup,Successful,[]
2944940645.0,88,26.0,SecondHalf,Kim Seung-Gyu,71968,1159,a,1.9,78.8,BallRecovery,Successful,[]
2944940689.0,89,13.0,SecondHalf,Yang Hyun-Jun,457093,1159,a,35.0,6.8,Tackle,Unsuccessful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""StandingSave""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""737""}, {""type"": ""Defensive""}]"
2944940695.0,89,17.0,SecondHalf,Lee Han-Beom,531031,1159,a,34.2,6.6,Tackle,Unsuccessful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""StandingSave""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""738""}, {""type"": ""Defensive""}]"
2944940705.0,89,41.0,SecondHalf,Edson Álvarez,322696,972,h,34.7,74.0,Interception,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}]"
2944940709.0,89,42.0,SecondHalf,Edson Álvarez,322696,972,h,37.0,77.5,BallRecovery,Successful,[]
2944940743.0,90,19.0,SecondHalf,Lee Gi-Hyuk,447593,1159,a,12.0,7.3,BallRecovery,Successful,[]
2944940751.0,90,21.0,SecondHalf,César Huerta,498764,972,h,86.2,93.0,BlockedPass,Successful,"[{""type"": ""Zone"", ""value"": ""Left""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""897""}, {""type"": ""Defensive""}]"
2944940765.0,90,38.0,SecondHalf,Kim Seung-Gyu,71968,1159,a,8.2,35.5,KeeperPickup,Successful,[]
2944940773.0,90,47.0,SecondHalf,Edson Álvarez,322696,972,h,25.4,70.5,Clearance,Successful,"[{""type"": ""Head""}, {""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""35.3""}, {""type"": ""PassEndY"", ""value"": ""75.0""}, {""type"": ""Length"", ""value"": ""10.8""}, {""type"": ""Angle"", ""value"": ""0.29""}]"
2944940787.0,91,4.0,SecondHalf,Israel Reyes,447634,972,h,4.2,18.4,Clearance,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""BlockedCross""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""908""}]"
2944940817.0,92,32.0,SecondHalf,Edson Álvarez,322696,972,h,21.0,33.6,Tackle,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""StandingSave""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""918""}, {""type"": ""Defensive""}]"
2944940819.0,92,33.0,SecondHalf,Jorge Sánchez,447643,972,h,24.5,33.1,BallRecovery,Successful,[]
2944940829.0,92,41.0,SecondHalf,Kim Min-Jae,370912,1159,a,52.5,54.5,BallRecovery,Successful,[]
2944940841.0,93,5.0,SecondHalf,Johan Vásquez,425115,972,h,7.4,46.2,Save,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""OutfielderBlock""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""929""}]"
2944940859.0,93,54.0,SecondHalf,Johan Vásquez,425115,972,h,5.6,75.0,Clearance,Successful,"[{""type"": ""Zone"", ""value"": ""Left""}, {""type"": ""PassEndX"", ""value"": ""57.5""}, {""type"": ""PassEndY"", ""value"": ""100.0""}, {""type"": ""Length"", ""value"": ""57.5""}, {""type"": ""Angle"", ""value"": ""0.32""}]"
2944940873.0,94,28.0,SecondHalf,Edson Álvarez,322696,972,h,25.6,56.4,Clearance,Successful,"[{""type"": ""Head""}, {""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""38.5""}, {""type"": ""PassEndY"", ""value"": ""54.0""}, {""type"": ""Length"", ""value"": ""13.6""}, {""type"": ""Angle"", ""value"": ""6.16""}]"
2944940877.0,94,29.0,SecondHalf,Hwang In-Beom,371030,1159,a,60.2,52.7,Tackle,Unsuccessful,"[{""type"": ""Zone"", ""value"": ""Center""}, {""type"": ""StandingSave""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""777""}, {""type"": ""Defensive""}]"
2944940899.0,94,41.0,SecondHalf,Edson Álvarez,322696,972,h,11.4,31.2,Clearance,Successful,"[{""type"": ""Zone"", ""value"": ""Center""}, {""type"": ""PassEndX"", ""value"": ""56.9""}, {""type"": ""PassEndY"", ""value"": ""21.3""}, {""type"": ""Length"", ""value"": ""48.2""}, {""type"": ""Angle"", ""value"": ""6.14""}]"
2944940903.0,94,54.0,SecondHalf,Israel Reyes,447634,972,h,30.2,35.0,Tackle,Unsuccessful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""947""}, {""type"": ""Defensive""}]"
2944940907.0,94,58.0,SecondHalf,Jesús Gallardo,252248,972,h,31.0,75.9,Clearance,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""33.2""}, {""type"": ""PassEndY"", ""value"": ""100.0""}, {""type"": ""Length"", ""value"": ""17.5""}, {""type"": ""Angle"", ""value"": ""1.44""}]"
2944940917.0,95,28.0,SecondHalf,Jesús Gallardo,252248,972,h,15.7,65.9,Clearance,Successful,"[{""type"": ""Head""}, {""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""14.3""}, {""type"": ""PassEndY"", ""value"": ""61.7""}, {""type"": ""Length"", ""value"": ""3.2""}, {""type"": ""Angle"", ""value"": ""4.24""}]"
2944940923.0,95,30.0,SecondHalf,Orbelín Pineda,228547,972,h,14.3,61.7,Clearance,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""33.0""}, {""type"": ""PassEndY"", ""value"": ""58.1""}, {""type"": ""Length"", ""value"": ""19.8""}, {""type"": ""Angle"", ""value"": ""6.16""}]"
2944940931.0,95,40.0,SecondHalf,Raúl Rangel,527319,972,h,13.5,35.6,Punch,Successful,"[{""type"": ""PassEndX"", ""value"": ""35.4""}, {""type"": ""PassEndY"", ""value"": ""36.7""}, {""type"": ""Length"", ""value"": ""23.0""}, {""type"": ""Angle"", ""value"": ""0.03""}]"
2944940935.0,95,46.0,SecondHalf,Obed Vargas,419580,972,h,44.2,44.8,BallRecovery,Successful,[]
2944940941.0,95,49.0,SecondHalf,Lee Gi-Hyuk,447593,1159,a,20.6,59.2,Tackle,Successful,"[{""type"": ""LastMan""}, {""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""790""}, {""type"": ""Defensive""}]"
