id,minute,second,period,playerName,playerId,teamId,h_a,x,y,endX,endY,outcomeType,passLength,passAngle,passDirection,passType,qualifiers
2944934261.0,0,32.0,FirstHalf,Kim Seung-Gyu,71968,1159,a,14.2,34.4,92.8,96.9,Successful,100.42016729721176,38.49050551033217,Forward,Short,"[{""type"": ""Longball""}, {""type"": ""Zone"", ""value"": ""Left""}, {""type"": ""PassEndX"", ""value"": ""92.8""}, {""type"": ""PassEndY"", ""value"": ""96.9""}, {""type"": ""Length"", ""value"": ""92.8""}, {""type"": ""Angle"", ""value"": ""0.48""}]"
2944934263.0,0,39.0,FirstHalf,Seol Young-Woo,477549,1159,a,91.0,96.0,77.6,94.5,Successful,13.483693855913526,-173.61288297423548,Backward,Short,"[{""type"": ""Zone"", ""value"": ""Left""}, {""type"": ""PassEndX"", ""value"": ""77.6""}, {""type"": ""PassEndY"", ""value"": ""94.5""}, {""type"": ""Length"", ""value"": ""14.1""}, {""type"": ""Angle"", ""value"": ""3.21""}]"
2944934271.0,1,10.0,FirstHalf,Edson Álvarez,322696,972,h,28.1,21.6,22.8,41.0,Successful,20.110942295178514,105.28010595813004,Backward,Short,"[{""type"": ""FreekickTaken""}, {""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""22.8""}, {""type"": ""PassEndY"", ""value"": ""41.0""}, {""type"": ""Length"", ""value"": ""14.3""}, {""type"": ""Angle"", ""value"": ""1.97""}, {""type"": ""IndirectFreekickTaken""}]"
2944934273.0,1,12.0,FirstHalf,Johan Vásquez,425115,972,h,22.2,45.4,23.5,78.8,Successful,33.425289826716536,87.77104986607226,Lateral,Short,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""23.5""}, {""type"": ""PassEndY"", ""value"": ""78.8""}, {""type"": ""Length"", ""value"": ""22.8""}, {""type"": ""Angle"", ""value"": ""1.51""}]"
2944934275.0,1,14.0,FirstHalf,Jesús Gallardo,252248,972,h,21.5,80.9,29.3,89.0,Successful,11.244998888394784,46.08092418666067,Forward,Short,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""29.3""}, {""type"": ""PassEndY"", ""value"": ""89.0""}, {""type"": ""Length"", ""value"": ""9.9""}, {""type"": ""Angle"", ""value"": ""0.59""}]"
2944934285.0,1,30.0,FirstHalf,Jesús Gallardo,252248,972,h,44.8,100.0,30.8,90.2,Successful,17.08917786202718,-145.00797980144134,Backward,ThrowIn,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""ThrowIn""}, {""type"": ""PassEndX"", ""value"": ""30.8""}, {""type"": ""PassEndY"", ""value"": ""90.2""}, {""type"": ""Length"", ""value"": ""16.6""}, {""type"": ""Angle"", ""value"": ""3.63""}]"
2944934287.0,1,36.0,FirstHalf,Johan Vásquez,425115,972,h,24.7,80.6,21.2,65.5,Successful,15.500322577288507,-103.05002855366685,Lateral,Short,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""21.2""}, {""type"": ""PassEndY"", ""value"": ""65.5""}, {""type"": ""Length"", ""value"": ""10.9""}, {""type"": ""Angle"", ""value"": ""4.37""}]"
2944934289.0,1,41.0,FirstHalf,Edson Álvarez,322696,972,h,26.7,54.5,24.4,35.4,Successful,19.2379832622861,-96.86642980249772,Lateral,Short,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""24.4""}, {""type"": ""PassEndY"", ""value"": ""35.4""}, {""type"": ""Length"", ""value"": ""13.2""}, {""type"": ""Angle"", ""value"": ""4.53""}]"
2944934291.0,1,42.0,FirstHalf,Jorge Sánchez,447643,972,h,24.3,33.9,30.1,18.2,Successful,16.737084572887834,-69.72442139100902,Forward,Short,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""30.1""}, {""type"": ""PassEndY"", ""value"": ""18.2""}, {""type"": ""Length"", ""value"": ""12.3""}, {""type"": ""Angle"", ""value"": ""5.23""}]"
2944934295.0,1,46.0,FirstHalf,Brian Gutiérrez,396565,972,h,28.1,12.5,27.0,13.2,Unsuccessful,1.3038404810405304,147.52880770915158,Lateral,Short,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""27.0""}, {""type"": ""PassEndY"", ""value"": ""13.2""}, {""type"": ""Length"", ""value"": ""1.2""}, {""type"": ""Angle"", ""value"": ""2.75""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""23""}, {""type"": ""Offensive""}]"
2944934303.0,1,53.0,FirstHalf,Jorge Sánchez,447643,972,h,10.5,0.0,7.9,24.3,Successful,24.438698819699873,96.10717811160511,Lateral,ThrowIn,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""ThrowIn""}, {""type"": ""PassEndX"", ""value"": ""7.9""}, {""type"": ""PassEndY"", ""value"": ""24.3""}, {""type"": ""Length"", ""value"": ""17.8""}, {""type"": ""Angle"", ""value"": ""1.72""}]"
2944934305.0,1,57.0,FirstHalf,Edson Álvarez,322696,972,h,12.9,29.5,4.1,47.2,Successful,19.76689151080665,116.43542293781474,Backward,Short,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""4.1""}, {""type"": ""PassEndY"", ""value"": ""47.2""}, {""type"": ""Length"", ""value"": ""15.2""}, {""type"": ""Angle"", ""value"": ""2.23""}]"
2944934307.0,1,59.0,FirstHalf,Raúl Rangel,527319,972,h,4.3,47.5,10.2,77.8,Successful,30.86907837950462,78.98127609600107,Forward,Short,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""10.2""}, {""type"": ""PassEndY"", ""value"": ""77.8""}, {""type"": ""Length"", ""value"": ""21.5""}, {""type"": ""Angle"", ""value"": ""1.28""}]"
2944934309.0,2,3.0,FirstHalf,Johan Vásquez,425115,972,h,12.8,88.7,74.1,80.2,Unsuccessful,61.88650903064415,-7.894426345298439,Forward,Short,"[{""type"": ""Longball""}, {""type"": ""Zone"", ""value"": ""Left""}, {""type"": ""PassEndX"", ""value"": ""74.1""}, {""type"": ""PassEndY"", ""value"": ""80.2""}, {""type"": ""Length"", ""value"": ""64.6""}, {""type"": ""Angle"", ""value"": ""6.19""}]"
2944934313.0,2,10.0,FirstHalf,Kim Seung-Gyu,71968,1159,a,30.1,15.1,68.7,36.7,Unsuccessful,44.232567187537285,29.23074340215824,Forward,Short,"[{""type"": ""Longball""}, {""type"": ""Zone"", ""value"": ""Center""}, {""type"": ""PassEndX"", ""value"": ""68.7""}, {""type"": ""PassEndY"", ""value"": ""36.7""}, {""type"": ""Length"", ""value"": ""43.1""}, {""type"": ""Angle"", ""value"": ""0.35""}]"
2944934321.0,2,13.0,FirstHalf,Lee Jae-Sung,142959,1159,a,68.0,50.6,63.2,86.9,Successful,36.615980117975816,97.53260140094736,Lateral,Short,"[{""type"": ""Zone"", ""value"": ""Left""}, {""type"": ""PassEndX"", ""value"": ""63.2""}, {""type"": ""PassEndY"", ""value"": ""86.9""}, {""type"": ""Length"", ""value"": ""25.2""}, {""type"": ""Angle"", ""value"": ""1.77""}]"
